product_name,price,qty_left,ratings,est
iPhone 15 Pro Max,"$1,099.00",15,★★★★★,3-5 Days
"MacBook Pro 16"" (M2)","$2,499.00",25,★★★★★,4-6 Days
AirPods Pro 2nd Gen,$249.00,50,★★★★☆,2-4 Days
"iPad Pro 12.9""","$1,099.00",30,★★★★★,5-7 Days
Apple Watch Ultra,$799.00,20,★★★★★,3-5 Days
iMac 24-inch (M1),"$1,299.00",10,★★★★☆,7-10 Days
Mac mini M2,$699.00,40,★★★★☆,4-6 Days
iPhone 14,$799.00,35,★★★★☆,3-5 Days
AirPods 3rd Gen,$179.00,45,★★★★☆,2-4 Days
iPad Mini 6,$499.00,25,★★★★☆,4-6 Days
MacBook Air M2,"$1,199.00",50,★★★★★,2-5 Days
HomePod Mini,$99.00,60,★★★★☆,2-4 Days
Magic Mouse,$79.00,50,★★★★☆,3-5 Days
Magic Keyboard,$99.00,40,★★★★☆,4-6 Days
Apple TV 4K,$179.00,30,★★★★☆,5-7 Days
AirTag,$29.00,70,★★★★★,2-4 Days
Apple Pencil 2nd Gen,$129.00,50,★★★★★,3-5 Days
Smart Folio (iPad),$99.00,25,★★★★☆,4-6 Days
USB-C Charger (20W),$19.00,100,★★★★☆,2-3 Days
